instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
261799430,1022654,EURINR24JULFUT,"EURINR",0,2024-07-29,0,0.0025,1,FUT,BCD-FUT,BCD
262676230,1026079,EURINR24AUGFUT,"EURINR",0,2024-08-28,0,0.0025,1,FUT,BCD-FUT,BCD
263556614,1029518,EURINR24SEPFUT,"EURINR",0,2024-09-26,0,0.0025,1,FUT,BCD-FUT,BCD
264741126,1034145,EURINR24OCTFUT,"EURINR",0,2024-10-29,0,0.0025,1,FUT,BCD-FUT,BCD
265969926,1038945,EURINR24NOVFUT,"EURINR",0,2024-11-27,0,0.0025,1,FUT,BCD-FUT,BCD
268449030,1048629,EURINR24DECFUT,"EURINR",0,2024-12-27,0,0.0025,1,FUT,BCD-FUT,BCD
269248262,1051751,EURINR25JANFUT,"EURINR",0,2025-01-29,0,0.0025,1,FUT,BCD-FUT,BCD
270018310,1054759,EURINR25FEBFUT,"EURINR",0,2025-02-26,0,0.0025,1,FUT,BCD-FUT,BCD
270682630,1057354,EURINR25MARFUT,"EURINR",0,2025-03-27,0,0.0025,1,FUT,BCD-FUT,BCD
271634182,1061071,EURINR25APRFUT,"EURINR",0,2025-04-28,0,0.0025,1,FUT,BCD-FUT,BCD
272665862,1065101,EURINR25MAYFUT,"EURINR",0,2025-05-28,0,0.0025,1,FUT,BCD-FUT,BCD
273476614,1068268,EURINR25JUNFUT,"EURINR",0,2025-06-26,0,0.0025,1,FUT,BCD-FUT,BCD
261799174,1022653,GBPINR24JULFUT,"GBPINR",0,2024-07-29,0,0.0025,1,FUT,BCD-FUT,BCD
262675974,1026078,GBPINR24AUGFUT,"GBPINR",0,2024-08-28,0,0.0025,1,FUT,BCD-FUT,BCD
263556358,1029517,GBPINR24SEPFUT,"GBPINR",0,2024-09-26,0,0.0025,1,FUT,BCD-FUT,BCD
264740870,1034144,GBPINR24OCTFUT,"GBPINR",0,2024-10-29,0,0.0025,1,FUT,BCD-FUT,BCD
265969670,1038944,GBPINR24NOVFUT,"GBPINR",0,2024-11-27,0,0.0025,1,FUT,BCD-FUT,BCD
